add_1,add_2,area,population,aver_old,under_15,15_65,over_65,rate_sex
長野県,飯綱町,75.00 ,147.5,52.2 ,10.5 ,53.5 ,35.9 ,94.0 
長野県,栄村,271.66 ,7.2,59.9 ,7.9 ,41.8 ,50.3 ,92.2 
岐阜県,岐阜県,"10,621.29 ",191.3,46.9 ,13.2 ,58.7 ,28.1 ,93.9 
岐阜県,岐阜市,203.60 ,"1,997.7",46.6 ,12.7 ,59.6 ,27.6 ,91.0 
岐阜県,大垣市,206.57 ,774.0,45.7 ,13.6 ,60.3 ,26.1 ,93.9 
岐阜県,高山市,"2,177.61 ",41.0,48.4 ,13.4 ,55.6 ,30.9 ,91.7 
岐阜県,多治見市,91.25 ,"1,210.3",47.2 ,12.4 ,59.7 ,27.9 ,93.5 
岐阜県,関市,472.33 ,188.8,46.5 ,13.5 ,59.1 ,27.4 ,95.0 
岐阜県,中津川市,676.45 ,116.6,48.5 ,13.1 ,55.8 ,31.0 ,94.6 
岐阜県,美濃市,117.01 ,177.4,49.8 ,11.3 ,56.8 ,31.9 ,92.3 
岐阜県,瑞浪市,174.86 ,221.5,47.6 ,12.1 ,58.4 ,29.5 ,92.6 
岐阜県,羽島市,53.66 ,"1,254.9",45.2 ,14.1 ,60.6 ,25.3 ,96.1 
岐阜県,恵那市,504.24 ,101.3,49.6 ,12.5 ,54.9 ,32.6 ,93.5 
岐阜県,美濃加茂市,74.81 ,740.3,43.3 ,15.5 ,62.0 ,22.5 ,97.6 
岐阜県,土岐市,116.02 ,498.4,48.3 ,12.3 ,57.2 ,30.4 ,92.7 
岐阜県,各務原市,87.81 ,"1,647.8",45.4 ,14.0 ,59.5 ,26.4 ,96.8 
岐阜県,可児市,87.57 ,"1,127.0",45.1 ,14.0 ,60.5 ,25.5 ,97.2 
岐阜県,山県市,221.98 ,122.1,49.5 ,11.3 ,57.2 ,31.5 ,92.4 
岐阜県,瑞穂市,28.19 ,"1,928.1",41.3 ,16.3 ,64.1 ,19.6 ,100.0 
岐阜県,飛騨市,792.53 ,31.2,52.2 ,11.6 ,51.0 ,37.4 ,91.4 
岐阜県,本巣市,374.65 ,90.7,46.3 ,14.3 ,57.9 ,27.8 ,94.7 
岐阜県,郡上市,"1,030.75 ",40.8,51.4 ,12.4 ,52.9 ,34.7 ,94.0 
岐阜県,下呂市,851.21 ,39.5,52.3 ,11.4 ,51.1 ,37.4 ,91.1 
岐阜県,海津市,112.03 ,314.3,48.4 ,11.5 ,59.3 ,29.1 ,95.0 
岐阜県,岐南町,7.91 ,"3,112.8",42.7 ,15.1 ,63.1 ,21.7 ,95.1 
岐阜県,笠松町,10.30 ,"2,208.7",45.8 ,13.7 ,59.1 ,27.1 ,88.2 
岐阜県,養老町,72.29 ,401.6,47.9 ,12.5 ,58.6 ,28.9 ,95.0 
岐阜県,垂井町,57.09 ,482.7,47.0 ,13.6 ,58.0 ,28.4 ,96.2 
岐阜県,関ケ原町,49.28 ,150.5,51.7 ,10.1 ,53.8 ,36.2 ,95.1 
岐阜県,神戸町,18.78 ,"1,026.7",47.1 ,12.9 ,57.9 ,29.2 ,96.3 
岐阜県,輪之内町,22.33 ,446.6,44.0 ,15.2 ,61.7 ,23.1 ,95.9 
岐阜県,安八町,18.16 ,812.3,45.3 ,14.9 ,59.0 ,26.2 ,97.4 
岐阜県,揖斐川町,803.44 ,26.8,51.1 ,11.1 ,53.7 ,35.2 ,91.1 
岐阜県,大野町,34.20 ,685.8,45.4 ,14.7 ,59.5 ,25.8 ,95.0 
岐阜県,池田町,38.80 ,627.5,45.6 ,14.6 ,58.7 ,26.6 ,94.3 
岐阜県,北方町,5.18 ,"3,507.5",43.3 ,14.8 ,63.0 ,22.2 ,91.1 
岐阜県,坂祝町,12.87 ,637.3,45.4 ,12.7 ,62.5 ,24.7 ,109.7 
岐阜県,富加町,16.82 ,330.8,47.5 ,13.3 ,57.5 ,29.2 ,93.1 
岐阜県,川辺町,41.16 ,247.7,47.9 ,13.0 ,57.1 ,29.9 ,95.2 
岐阜県,七宗町,90.47 ,42.8,55.4 ,8.8 ,49.4 ,41.8 ,89.0 
岐阜県,八百津町,128.79 ,85.6,52.3 ,10.4 ,53.0 ,36.6 ,92.2 
岐阜県,白川町,237.90 ,35.3,56.3 ,9.3 ,47.7 ,43.0 ,89.2 
岐阜県,東白川村,87.09 ,26.0,55.5 ,10.8 ,47.1 ,42.1 ,90.8 
岐阜県,御嵩町,56.69 ,319.5,47.7 ,12.2 ,59.2 ,28.5 ,97.6 
岐阜県,白川村,356.64 ,4.5,48.2 ,14.3 ,53.9 ,31.8 ,96.2 
静岡県,静岡県,"7,777.42 ",475.8,47.0 ,13.0 ,59.2 ,27.8 ,96.9 
静岡県,静岡市,"1,411.90 ",499.3,47.5 ,12.2 ,59.3 ,28.6 ,94.9 
静岡県,静岡市 葵区,"1,073.76 ",236.2,48.0 ,12.3 ,58.3 ,29.4 ,92.4 
静岡県,静岡市 駿河区,73.05 ,"2,907.9",45.7 ,12.6 ,62.0 ,25.4 ,98.2 
静岡県,静岡市 清水区,265.09 ,901.5,48.5 ,11.6 ,57.8 ,30.5 ,94.8 
静岡県,浜松市,"1,558.06 ",512.2,46.2 ,13.6 ,60.0 ,26.4 ,98.3 
静岡県,浜松市 中区,44.34 ,"5,355.1",45.7 ,12.7 ,62.3 ,25.0 ,99.2 
静岡県,浜松市 東区,46.29 ,"2,777.2",44.9 ,14.6 ,60.7 ,24.7 ,98.6 
静岡県,浜松市 西区,114.71 ,970.7,45.9 ,14.6 ,59.0 ,26.5 ,97.5 
静岡県,浜松市 南区,46.84 ,"2,153.5",45.9 ,13.5 ,60.2 ,26.3 ,100.0 
